text;favorited;created
SKA kolimise arutelu peaksid pidama hoopis potensiaalsed tulevased õpilased ning vilistlased. #etvfoorum;FALSE;21.02.2017 18:18
Küsimus ei ole ju niivõrd kümnetes miljonites, mida ikka võib kapist leida, inimesi ju lihtsalt pole! Raha eest inimesi ei tee. #etvfoorum;FALSE;21.02.2017 18:17
Kooli kooliks, aga kesse läheks Narva õppima? #etvfoorum;FALSE;21.02.2017 18:17
Valitsus peaks loobuma kampaanialikust plaanist riigiasutused ühest kohast teise kolida. See nõrgestab Eesti avalikku haldust. #etvfoorum;FALSE;21.02.2017 18:17
"Väga veider on valitsuse esindajatelt pika hüpleva sisuga jutu lõpuks kuulda väljendit ""räägime asjast nagu on!"" #etvfoorum";FALSE;21.02.2017 18:17
Nunnu on vaadata, kuidas kaks kolmandikku Eesti poliitspektrist tõestab palehighis, et väljaspool Tallinna ei kõlba elada. #etvfoorum;FALSE;21.02.2017 18:17
Mis julgeoleku tõstmisest te räägite. Mida julgestavad üliõpilased? #etvfoorum;FALSE;21.02.2017 18:15
"Paneks Sisekaitseakadeemia Rail Balticule edasi-tagasi sõitma,siis on Leedukatel ka tunda, et oleme kohal, keelt võime ka õpetada
#etvfoorum";FALSE;21.02.2017 18:15
Varem oli häda, miks riik ei aita. Nüüd nõustatakse kuidas riik peab raha kulutama. #etvfoorum;FALSE;21.02.2017 18:15
#etvfoorum Kas mart soovitab ehitada piirile müüri?;FALSE;21.02.2017 18:14
Kes teab kedagi, kes teaks kedagi kes on viimase aasta-kahe jooksul Narvas käinud? #etvfoorum;FALSE;21.02.2017 18:14
#etvfoorum miks julgeoleku jutt ärritab inimesi? See on eesti riik ja see on täiesti normaalne et piirialadel julgeolekuga tegeletakse.;FALSE;21.02.2017 18:13
Enne kui ei ole selget plaani transpordi ja haldusreformi osas ei ole võimalik ega mõtet kuhugi kolida #etvfoorum;FALSE;21.02.2017 18:13
Narva on ÄÄREMAA, kuhu Tallinnast saab 7.00 bussiga kell 10.20 ja 8.52 rongiga kell 11.35. Esmalt parandage ühendusi, siis kolige #etvfoorum;FALSE;21.02.2017 18:13
"Reinsalu: ""Me ehitame maja, mis hakkab NENDELE venelastele seal eesti keelt õpetama!"" #etvfoorum";FALSE;21.02.2017 18:11
TTÜ kolledž juba tegutseb Kohtla-Järvel. Teenindus-kokandus-turismindus oleks piirkonna jaoks täna ehk perspektiivikam ala? #etvfoorum;FALSE;21.02.2017 18:10
Saatke Narva hoopis koormatäis lendlehti Eesti uue märgiga. Hulka odavam ja sama tulemusega. #etvfoorum;FALSE;21.02.2017 18:10
Erinevalt teistest tegeles Hanno ministrina reaalse ida-eesti sisejulgeoleku arendamisega- peaaegu alustas piiri väljaehitamist.  #etvfoorum;FALSE;21.02.2017 18:10
#etvfoorum kodanikud poliitikud , aga kolige algul ise ida virumaale , näidake kui hea on seal elada.;FALSE;21.02.2017 18:09
